Nivel de consistência; Data; Cota
1;2020-03-01;320
1;2020-03-02;476
1;2020-03-03;508
1;2020-03-04;464
1;2020-03-05;500
1;2020-03-06;540
1;2020-03-07;601
1;2020-03-08;545
1;2020-03-09;503
1;2020-03-09;468
1;2020-03-09;416
1;2020-03-09;364
1;2020-03-09;338
1;2020-03-09;333
1;2020-03-09;334
1;2020-03-09;302
1;2020-03-09;268
1;2020-03-09;262
1;2020-03-09;259
1;2020-03-09;256
1;2020-03-09;254
1;2020-03-09;268
1;2020-03-09;300
1;2020-03-09;332
1;2020-03-09;396
1;2020-03-09;366
1;2020-03-09;346
1;2020-03-09;290
1;2020-03-09;274
1;2020-03-09;266
1;2020-03-09;232
1;2020-03-01;360
1;2020-03-02;482
1;2020-03-03;496
1;2020-03-04;454
1;2020-03-05;498
1;2020-03-06;562
1;2020-03-07;587
1;2020-03-08;526
1;2020-03-09;472
1;2020-03-09;424
1;2020-03-09;376
1;2020-03-09;348
1;2020-03-09;326
1;2020-03-09;300
1;2020-03-09;300
1;2020-03-09;307
1;2020-03-09;294
1;2020-03-09;268
1;2020-03-09;258
1;2020-03-09;254
1;2020-03-09;238
1;2020-03-09;275
1;2020-03-09;305
1;2020-03-09;370
1;2020-03-09;392
1;2020-03-09;324
1;2020-03-09;334
1;2020-03-09;272
1;2020-03-09;270
1;2020-03-09;258
1;2020-03-09;248
1;2020-03-01;340
1;2020-03-02;479
1;2020-03-03;502
1;2020-03-04;459
1;2020-03-05;499
1;2020-03-06;551
1;2020-03-07;594
1;2020-03-08;536
1;2020-03-09;488
1;2020-03-09;446
1;2020-03-09;396
1;2020-03-09;356
1;2020-03-09;332
1;2020-03-09;317
1;2020-03-09;317
1;2020-03-09;305
1;2020-03-09;281
1;2020-03-09;265
1;2020-03-09;259
1;2020-03-09;255
1;2020-03-09;246
1;2020-03-09;272
1;2020-03-09;303
1;2020-03-09;351
1;2020-03-09;394
1;2020-03-09;345
1;2020-03-09;340
1;2020-03-09;281
1;2020-03-09;272
1;2020-03-09;262
1;2020-03-09;240
1;2020-02-01;385
1;2020-02-02;345
1;2020-02-03;276
1;2020-02-04;272
1;2020-02-05;246
1;2020-02-06;216
1;2020-02-07;232
1;2020-02-08;278
1;2020-02-09;250
1;2020-02-09;258
1;2020-02-09;264
1;2020-02-09;253
1;2020-02-09;255
1;2020-02-09;235
1;2020-02-09;280
1;2020-02-09;382
1;2020-02-09;424
1;2020-02-09;360
1;2020-02-09;284
1;2020-02-09;234
1;2020-02-09;226
1;2020-02-09;245
1;2020-02-09;242
1;2020-02-09;276
1;2020-02-09;270
1;2020-02-09;270
1;2020-02-09;253
1;2020-02-09;228
1;2020-02-09;272
1;2020-02-01;368
1;2020-02-02;344
1;2020-02-03;314
1;2020-02-04;269
1;2020-02-05;272
1;2020-02-06;268
1;2020-02-07;226
1;2020-02-08;291
1;2020-02-09;238
1;2020-02-09;248
1;2020-02-09;240
1;2020-02-09;292
1;2020-02-09;270
1;2020-02-09;252
1;2020-02-09;298
1;2020-02-09;406
1;2020-02-09;405
1;2020-02-09;308
1;2020-02-09;370
1;2020-02-09;245
1;2020-02-09;228
1;2020-02-09;219
1;2020-02-09;255
1;2020-02-09;274
1;2020-02-09;283
1;2020-02-09;266
1;2020-02-09;240
1;2020-02-09;256
1;2020-02-09;278
1;2020-02-01;377
1;2020-02-02;345
1;2020-02-03;295
1;2020-02-04;271
1;2020-02-05;259
1;2020-02-06;242
1;2020-02-07;229
1;2020-02-08;285
1;2020-02-09;244
1;2020-02-09;253
1;2020-02-09;252
1;2020-02-09;273
1;2020-02-09;263
1;2020-02-09;244
1;2020-02-09;289
1;2020-02-09;394
1;2020-02-09;415
1;2020-02-09;334
1;2020-02-09;327
1;2020-02-09;240
1;2020-02-09;227
1;2020-02-09;232
1;2020-02-09;249
1;2020-02-09;275
1;2020-02-09;277
1;2020-02-09;268
1;2020-02-09;247
1;2020-02-09;242
1;2020-02-09;275
1;2020-01-01;148
1;2020-01-02;146
1;2020-01-03;147
1;2020-01-04;174
1;2020-01-05;153
1;2020-01-06;154
1;2020-01-07;179
1;2020-01-08;198
1;2020-01-09;211
1;2020-01-09;191
1;2020-01-09;184
1;2020-01-09;165
1;2020-01-09;168
1;2020-01-09;165
1;2020-01-09;150
1;2020-01-09;149
1;2020-01-09;153
1;2020-01-09;154
1;2020-01-09;167
1;2020-01-09;173
1;2020-01-09;194
1;2020-01-09;249
1;2020-01-09;274
1;2020-01-09;289
1;2020-01-09;320
1;2020-01-09;442
1;2020-01-09;649
1;2020-01-09;750
1;2020-01-09;688
1;2020-01-09;545
1;2020-01-09;419
1;2020-01-01;146
1;2020-01-02;144
1;2020-01-03;150
1;2020-01-04;175
1;2020-01-05;152
1;2020-01-06;157
1;2020-01-07;184
1;2020-01-08;200
1;2020-01-09;204
1;2020-01-09;196
1;2020-01-09;188
1;2020-01-09;176
1;2020-01-09;170
1;2020-01-09;165
1;2020-01-09;146
1;2020-01-09;154
1;2020-01-09;164
1;2020-01-09;154
1;2020-01-09;162
1;2020-01-09;172
1;2020-01-09;192
1;2020-01-09;250
1;2020-01-09;258
1;2020-01-09;287
1;2020-01-09;307
1;2020-01-09;387
1;2020-01-09;616
1;2020-01-09;752
1;2020-01-09;718
1;2020-01-09;580
1;2020-01-09;448
1;2020-01-01;150
1;2020-01-02;148
1;2020-01-03;144
1;2020-01-04;172
1;2020-01-05;154
1;2020-01-06;150
1;2020-01-07;173
1;2020-01-08;196
1;2020-01-09;218
1;2020-01-09;185
1;2020-01-09;180
1;2020-01-09;154
1;2020-01-09;166
1;2020-01-09;165
1;2020-01-09;154
1;2020-01-09;144
1;2020-01-09;142
1;2020-01-09;153
1;2020-01-09;172
1;2020-01-09;174
1;2020-01-09;196
1;2020-01-09;248
1;2020-01-09;290
1;2020-01-09;291
1;2020-01-09;332
1;2020-01-09;496
1;2020-01-09;681
1;2020-01-09;748
1;2020-01-09;658
1;2020-01-09;510
1;2020-01-09;390
1;2019-12-01;173
1;2019-12-02;201
1;2019-12-03;255
1;2019-12-04;360
1;2019-12-05;362
1;2019-12-06;360
1;2019-12-07;303
1;2019-12-08;346
1;2019-12-09;303
1;2019-12-09;296
1;2019-12-09;317
1;2019-12-09;263
1;2019-12-09;227
1;2019-12-09;208
1;2019-12-09;234
1;2019-12-09;253
1;2019-12-09;232
1;2019-12-09;196
1;2019-12-09;187
1;2019-12-09;175
1;2019-12-09;169
1;2019-12-09;153
1;2019-12-09;146
1;2019-12-09;144
1;2019-12-09;144
1;2019-12-09;143
1;2019-12-09;156
1;2019-12-09;174
1;2019-12-09;175
1;2019-12-09;164
1;2019-12-09;154
1;2019-12-01;168
1;2019-12-02;182
1;2019-12-03;245
1;2019-12-04;348
1;2019-12-05;372
1;2019-12-06;394
1;2019-12-07;302
1;2019-12-08;338
1;2019-12-09;316
1;2019-12-09;304
1;2019-12-09;323
1;2019-12-09;256
1;2019-12-09;232
1;2019-12-09;210
1;2019-12-09;235
1;2019-12-09;258
1;2019-12-09;242
1;2019-12-09;202
1;2019-12-09;197
1;2019-12-09;180
1;2019-12-09;172
1;2019-12-09;156
1;2019-12-09;146
1;2019-12-09;147
1;2019-12-09;145
1;2019-12-09;142
1;2019-12-09;145
1;2019-12-09;172
1;2019-12-09;180
1;2019-12-09;168
1;2019-12-09;160
1;2019-12-01;177
1;2019-12-02;220
1;2019-12-03;264
1;2019-12-04;372
1;2019-12-05;352
1;2019-12-06;325
1;2019-12-07;304
1;2019-12-08;354
1;2019-12-09;290
1;2019-12-09;288
1;2019-12-09;310
1;2019-12-09;270
1;2019-12-09;222
1;2019-12-09;205
1;2019-12-09;232
1;2019-12-09;248
1;2019-12-09;222
1;2019-12-09;190
1;2019-12-09;177
1;2019-12-09;170
1;2019-12-09;166
1;2019-12-09;150
1;2019-12-09;146
1;2019-12-09;140
1;2019-12-09;143
1;2019-12-09;144
1;2019-12-09;166
1;2019-12-09;176
1;2019-12-09;170
1;2019-12-09;160
1;2019-12-09;147
1;2019-11-01;107
1;2019-11-02;99
1;2019-11-03;111
1;2019-11-04;106
1;2019-11-05;114
1;2019-11-06;108
1;2019-11-07;99
1;2019-11-08;101
1;2019-11-09;108
1;2019-11-09;107
1;2019-11-09;105
1;2019-11-09;88
1;2019-11-09;87
1;2019-11-09;104
1;2019-11-09;105
1;2019-11-09;109
1;2019-11-09;105
1;2019-11-09;111
1;2019-11-09;118
1;2019-11-09;120
1;2019-11-09;126
1;2019-11-09;178
1;2019-11-09;180
1;2019-11-09;205
1;2019-11-09;176
1;2019-11-09;176
1;2019-11-09;188
1;2019-11-09;182
1;2019-11-09;149
1;2019-11-09;173
1;2019-11-01;111
1;2019-11-02;94
1;2019-11-03;110
1;2019-11-04;104
1;2019-11-05;114
1;2019-11-06;113
1;2019-11-07;97
1;2019-11-08;96
1;2019-11-09;108
1;2019-11-09;108
1;2019-11-09;106
1;2019-11-09;88
1;2019-11-09;86
1;2019-11-09;100
1;2019-11-09;106
1;2019-11-09;109
1;2019-11-09;106
1;2019-11-09;107
1;2019-11-09;117
1;2019-11-09;122
1;2019-11-09;121
1;2019-11-09;176
1;2019-11-09;128
1;2019-11-09;212
1;2019-11-09;188
1;2019-11-09;179
1;2019-11-09;202
1;2019-11-09;172
1;2019-11-09;160
1;2019-11-09;174
1;2019-11-01;102
1;2019-11-02;103
1;2019-11-03;112
1;2019-11-04;108
1;2019-11-05;114
1;2019-11-06;102
1;2019-11-07;101
1;2019-11-08;106
1;2019-11-09;108
1;2019-11-09;106
1;2019-11-09;104
1;2019-11-09;88
1;2019-11-09;87
1;2019-11-09;108
1;2019-11-09;104
1;2019-11-09;108
1;2019-11-09;104
1;2019-11-09;114
1;2019-11-09;118
1;2019-11-09;117
1;2019-11-09;131
1;2019-11-09;179
1;2019-11-09;231
1;2019-11-09;198
1;2019-11-09;164
1;2019-11-09;172
1;2019-11-09;173
1;2019-11-09;192
1;2019-11-09;138
1;2019-11-09;172
1;2019-10-01;96
1;2019-10-02;95
1;2019-10-03;93
1;2019-10-04;95
1;2019-10-05;96
1;2019-10-06;99
1;2019-10-07;100
1;2019-10-08;100
1;2019-10-09;96
1;2019-10-09;95
1;2019-10-09;93
1;2019-10-09;94
1;2019-10-09;92
1;2019-10-09;90
1;2019-10-09;92
1;2019-10-09;89
1;2019-10-09;95
1;2019-10-09;93
1;2019-10-09;91
1;2019-10-09;100
1;2019-10-09;90
1;2019-10-09;89
1;2019-10-09;89
1;2019-10-09;89
1;2019-10-09;96
1;2019-10-09;106
1;2019-10-09;109
1;2019-10-09;108
1;2019-10-09;95
1;2019-10-09;98
1;2019-10-09;98
1;2019-10-01;92
1;2019-10-02;91
1;2019-10-03;90
1;2019-10-04;94
1;2019-10-05;89
1;2019-10-06;94
1;2019-10-07;98
1;2019-10-08;98
1;2019-10-09;94
1;2019-10-09;92
1;2019-10-09;90
1;2019-10-09;91
1;2019-10-09;90
1;2019-10-09;88
1;2019-10-09;89
1;2019-10-09;88
1;2019-10-09;90
1;2019-10-09;92
1;2019-10-09;90
1;2019-10-09;100
1;2019-10-09;90
1;2019-10-09;88
1;2019-10-09;88
1;2019-10-09;86
1;2019-10-09;91
1;2019-10-09;106
1;2019-10-09;110
1;2019-10-09;108
1;2019-10-09;90
1;2019-10-09;93
1;2019-10-09;94
1;2019-10-01;100
1;2019-10-02;98
1;2019-10-03;96
1;2019-10-04;96
1;2019-10-05;102
1;2019-10-06;104
1;2019-10-07;102
1;2019-10-08;101
1;2019-10-09;98
1;2019-10-09;97
1;2019-10-09;96
1;2019-10-09;97
1;2019-10-09;94
1;2019-10-09;92
1;2019-10-09;94
1;2019-10-09;90
1;2019-10-09;99
1;2019-10-09;94
1;2019-10-09;92
1;2019-10-09;100
1;2019-10-09;90
1;2019-10-09;90
1;2019-10-09;89
1;2019-10-09;92
1;2019-10-09;100
1;2019-10-09;106
1;2019-10-09;108
1;2019-10-09;107
1;2019-10-09;100
1;2019-10-09;103
1;2019-10-09;102
1;2019-09-01;91
1;2019-09-02;90
1;2019-09-03;98
1;2019-09-04;98
1;2019-09-05;92
1;2019-09-06;100
1;2019-09-07;95
1;2019-09-08;94
1;2019-09-09;95
1;2019-09-09;90
1;2019-09-09;94
1;2019-09-09;90
1;2019-09-09;96
1;2019-09-09;92
1;2019-09-09;91
1;2019-09-09;87
1;2019-09-09;100
1;2019-09-09;88
1;2019-09-09;89
1;2019-09-09;92
1;2019-09-09;89
1;2019-09-09;88
1;2019-09-09;87
1;2019-09-09;88
1;2019-09-09;87
1;2019-09-09;87
1;2019-09-09;87
1;2019-09-09;89
1;2019-09-09;93
1;2019-09-09;94
1;2019-09-01;100
1;2019-09-02;101
1;2019-09-03;102
1;2019-09-04;100
1;2019-09-05;100
1;2019-09-06;102
1;2019-09-07;101
1;2019-09-08;100
1;2019-09-09;99
1;2019-09-09;99
1;2019-09-09;95
1;2019-09-09;92
1;2019-09-09;90
1;2019-09-09;90
1;2019-09-09;92
1;2019-09-09;92
1;2019-09-09;101
1;2019-09-09;97
1;2019-09-09;101
1;2019-09-09;100
1;2019-09-09;98
1;2019-09-09;97
1;2019-09-09;98
1;2019-09-09;90
1;2019-09-09;88
1;2019-09-09;89
1;2019-09-09;101
1;2019-09-09;101
1;2019-09-09;100
1;2019-09-09;102
1;2019-09-01;96
1;2019-09-02;96
1;2019-09-03;100
1;2019-09-04;99
1;2019-09-05;96
1;2019-09-06;101
1;2019-09-07;98
1;2019-09-08;97
1;2019-09-09;97
1;2019-09-09;95
1;2019-09-09;95
1;2019-09-09;91
1;2019-09-09;93
1;2019-09-09;91
1;2019-09-09;92
1;2019-09-09;90
1;2019-09-09;101
1;2019-09-09;93
1;2019-09-09;95
1;2019-09-09;96
1;2019-09-09;94
1;2019-09-09;93
1;2019-09-09;93
1;2019-09-09;89
1;2019-09-09;88
1;2019-09-09;88
1;2019-09-09;94
1;2019-09-09;95
1;2019-09-09;97
1;2019-09-09;98
1;2019-08-01;114
1;2019-08-02;108
1;2019-08-03;99
1;2019-08-04;101
1;2019-08-05;100
1;2019-08-06;92
1;2019-08-07;94
1;2019-08-08;92
1;2019-08-09;93
1;2019-08-09;94
1;2019-08-09;96
1;2019-08-09;98
1;2019-08-09;101
1;2019-08-09;100
1;2019-08-09;110
1;2019-08-09;94
1;2019-08-09;90
1;2019-08-09;94
1;2019-08-09;93
1;2019-08-09;92
1;2019-08-09;98
1;2019-08-09;103
1;2019-08-09;98
1;2019-08-09;100
1;2019-08-09;98
1;2019-08-09;99
1;2019-08-09;93
1;2019-08-09;92
1;2019-08-09;92
1;2019-08-09;91
1;2019-08-09;92
1;2019-08-01;109
1;2019-08-02;106
1;2019-08-03;105
1;2019-08-04;106
1;2019-08-05;105
1;2019-08-06;106
1;2019-08-07;100
1;2019-08-08;103
1;2019-08-09;101
1;2019-08-09;101
1;2019-08-09;102
1;2019-08-09;106
1;2019-08-09;107
1;2019-08-09;106
1;2019-08-09;101
1;2019-08-09;102
1;2019-08-09;102
1;2019-08-09;100
1;2019-08-09;101
1;2019-08-09;102
1;2019-08-09;100
1;2019-08-09;106
1;2019-08-09;104
1;2019-08-09;110
1;2019-08-09;100
1;2019-08-09;106
1;2019-08-09;98
1;2019-08-09;99
1;2019-08-09;98
1;2019-08-09;91
1;2019-08-09;98
1;2019-08-01;112
1;2019-08-02;107
1;2019-08-03;102
1;2019-08-04;104
1;2019-08-05;103
1;2019-08-06;99
1;2019-08-07;97
1;2019-08-08;98
1;2019-08-09;97
1;2019-08-09;98
1;2019-08-09;99
1;2019-08-09;102
1;2019-08-09;104
1;2019-08-09;103
1;2019-08-09;106
1;2019-08-09;98
1;2019-08-09;96
1;2019-08-09;97
1;2019-08-09;97
1;2019-08-09;97
1;2019-08-09;99
1;2019-08-09;105
1;2019-08-09;101
1;2019-08-09;105
1;2019-08-09;99
1;2019-08-09;103
1;2019-08-09;96
1;2019-08-09;96
1;2019-08-09;95
1;2019-08-09;91
1;2019-08-09;95
1;2019-07-01;115
1;2019-07-02;116
1;2019-07-03;113
1;2019-07-04;113
1;2019-07-05;114
1;2019-07-06;115
1;2019-07-07;113
1;2019-07-08;112
1;2019-07-09;112
1;2019-07-09;110
1;2019-07-09;110
1;2019-07-09;107
1;2019-07-09;97
1;2019-07-09;98
1;2019-07-09;98
1;2019-07-09;97
1;2019-07-09;100
1;2019-07-09;100
1;2019-07-09;103
1;2019-07-09;98
1;2019-07-09;100
1;2019-07-09;98
1;2019-07-09;97
1;2019-07-09;102
1;2019-07-09;106
1;2019-07-09;102
1;2019-07-09;101
1;2019-07-09;110
1;2019-07-09;111
1;2019-07-09;111
1;2019-07-09;106
1;2019-07-01;114
1;2019-07-02;116
1;2019-07-03;113
1;2019-07-04;113
1;2019-07-05;113
1;2019-07-06;116
1;2019-07-07;114
1;2019-07-08;112
1;2019-07-09;113
1;2019-07-09;108
1;2019-07-09;112
1;2019-07-09;108
1;2019-07-09;96
1;2019-07-09;97
1;2019-07-09;96
1;2019-07-09;95
1;2019-07-09;96
1;2019-07-09;98
1;2019-07-09;97
1;2019-07-09;94
1;2019-07-09;98
1;2019-07-09;93
1;2019-07-09;92
1;2019-07-09;97
1;2019-07-09;101
1;2019-07-09;98
1;2019-07-09;100
1;2019-07-09;108
1;2019-07-09;112
1;2019-07-09;110
1;2019-07-09;101
1;2019-07-01;116
1;2019-07-02;115
1;2019-07-03;112
1;2019-07-04;112
1;2019-07-05;114
1;2019-07-06;113
1;2019-07-07;112
1;2019-07-08;112
1;2019-07-09;111
1;2019-07-09;112
1;2019-07-09;107
1;2019-07-09;106
1;2019-07-09;98
1;2019-07-09;98
1;2019-07-09;99
1;2019-07-09;99
1;2019-07-09;104
1;2019-07-09;102
1;2019-07-09;108
1;2019-07-09;101
1;2019-07-09;102
1;2019-07-09;102
1;2019-07-09;102
1;2019-07-09;107
1;2019-07-09;110
1;2019-07-09;106
1;2019-07-09;102
1;2019-07-09;112
1;2019-07-09;110
1;2019-07-09;111
1;2019-07-09;110
1;2019-06-01;132
1;2019-06-02;131
1;2019-06-03;122
1;2019-06-04;120
1;2019-06-05;122
1;2019-06-06;121
1;2019-06-07;120
1;2019-06-08;110
1;2019-06-09;116
1;2019-06-09;116
1;2019-06-09;108
1;2019-06-09;124
1;2019-06-09;113
1;2019-06-09;116
1;2019-06-09;122
1;2019-06-09;123
1;2019-06-09;117
1;2019-06-09;120
1;2019-06-09;124
1;2019-06-09;120
1;2019-06-09;119
1;2019-06-09;120
1;2019-06-09;118
1;2019-06-09;108
1;2019-06-09;104
1;2019-06-09;106
1;2019-06-09;114
1;2019-06-09;101
1;2019-06-09;108
1;2019-06-09;98
1;2019-06-01;130
1;2019-06-02;124
1;2019-06-03;122
1;2019-06-04;121
1;2019-06-05;120
1;2019-06-06;120
1;2019-06-07;119
1;2019-06-08;106
1;2019-06-09;112
1;2019-06-09;110
1;2019-06-09;110
1;2019-06-09;112
1;2019-06-09;116
1;2019-06-09;112
1;2019-06-09;120
1;2019-06-09;121
1;2019-06-09;120
1;2019-06-09;120
1;2019-06-09;123
1;2019-06-09;120
1;2019-06-09;119
1;2019-06-09;119
1;2019-06-09;112
1;2019-06-09;115
1;2019-06-09;108
1;2019-06-09;116
1;2019-06-09;107
1;2019-06-09;106
1;2019-06-09;110
1;2019-06-09;98
1;2019-06-01;131
1;2019-06-02;128
1;2019-06-03;122
1;2019-06-04;121
1;2019-06-05;121
1;2019-06-06;121
1;2019-06-07;120
1;2019-06-08;108
1;2019-06-09;114
1;2019-06-09;113
1;2019-06-09;109
1;2019-06-09;118
1;2019-06-09;115
1;2019-06-09;114
1;2019-06-09;121
1;2019-06-09;122
1;2019-06-09;119
1;2019-06-09;120
1;2019-06-09;124
1;2019-06-09;120
1;2019-06-09;119
1;2019-06-09;120
1;2019-06-09;115
1;2019-06-09;112
1;2019-06-09;106
1;2019-06-09;111
1;2019-06-09;111
1;2019-06-09;104
1;2019-06-09;109
1;2019-06-09;98
1;2019-05-01;138
1;2019-05-02;142
1;2019-05-03;135
1;2019-05-04;133
1;2019-05-05;132
1;2019-05-06;135
1;2019-05-07;138
1;2019-05-08;139
1;2019-05-09;134
1;2019-05-09;122
1;2019-05-09;126
1;2019-05-09;124
1;2019-05-09;125
1;2019-05-09;127
1;2019-05-09;138
1;2019-05-09;148
1;2019-05-09;129
1;2019-05-09;133
1;2019-05-09;148
1;2019-05-09;145
1;2019-05-09;156
1;2019-05-09;149
1;2019-05-09;138
1;2019-05-09;138
1;2019-05-09;133
1;2019-05-09;133
1;2019-05-09;131
1;2019-05-09;134
1;2019-05-09;137
1;2019-05-09;132
1;2019-05-09;128
1;2019-05-01;144
1;2019-05-02;144
1;2019-05-03;137
1;2019-05-04;137
1;2019-05-05;134
1;2019-05-06;138
1;2019-05-07;138
1;2019-05-08;146
1;2019-05-09;140
1;2019-05-09;116
1;2019-05-09;126
1;2019-05-09;125
1;2019-05-09;126
1;2019-05-09;121
1;2019-05-09;139
1;2019-05-09;146
1;2019-05-09;122
1;2019-05-09;132
1;2019-05-09;147
1;2019-05-09;144
1;2019-05-09;157
1;2019-05-09;152
1;2019-05-09;140
1;2019-05-09;137
1;2019-05-09;133
1;2019-05-09;137
1;2019-05-09;131
1;2019-05-09;136
1;2019-05-09;140
1;2019-05-09;131
1;2019-05-09;130
1;2019-05-01;132
1;2019-05-02;140
1;2019-05-03;132
1;2019-05-04;128
1;2019-05-05;130
1;2019-05-06;132
1;2019-05-07;138
1;2019-05-08;132
1;2019-05-09;127
1;2019-05-09;128
1;2019-05-09;126
1;2019-05-09;123
1;2019-05-09;123
1;2019-05-09;132
1;2019-05-09;136
1;2019-05-09;150
1;2019-05-09;136
1;2019-05-09;133
1;2019-05-09;148
1;2019-05-09;146
1;2019-05-09;154
1;2019-05-09;146
1;2019-05-09;135
1;2019-05-09;139
1;2019-05-09;132
1;2019-05-09;128
1;2019-05-09;131
1;2019-05-09;132
1;2019-05-09;133
1;2019-05-09;132
1;2019-05-09;125
1;2019-04-01;159
1;2019-04-02;153
1;2019-04-03;146
1;2019-04-04;127
1;2019-04-05;139
1;2019-04-06;139
1;2019-04-07;136
1;2019-04-08;145
1;2019-04-09;139
1;2019-04-09;144
1;2019-04-09;164
1;2019-04-09;165
1;2019-04-09;168
1;2019-04-09;168
