Nivel de consistência; Data; Vazão
2;1994-02-01;47.353
2;1994-02-02;52.372
2;1994-02-03;62.97
2;1994-02-04;52.372
2;1994-02-05;48.877
2;1994-02-06;42.376
2;1994-02-07;34.488
2;1994-02-08;41.398
2;1994-02-09;36.017
2;1994-02-09;30.051
2;1994-02-09;27.792
2;1994-02-09;30.629
2;1994-02-09;54.353
2;1994-02-09;51.197
2;1994-02-09;30.629
2;1994-02-09;47.732
2;1994-02-09;99.945
2;1994-02-09;96.954
2;1994-02-09;65.518
2;1994-02-09;88.188
2;1994-02-09;83.923
2;1994-02-09;55.555
2;1994-02-09;53.558
2;1994-02-09;49.646
2;1994-02-09;44.729
2;1994-02-09;42.376
2;1994-02-09;40.75
2;1994-02-09;36.636
2;1994-03-01;37.884
2;1994-03-02;36.017
2;1994-03-03;33.283
2;1994-03-04;27.792
2;1994-03-05;27.792
2;1994-03-06;25.222
2;1994-03-07;30.051
2;1994-03-08;67.67
2;1994-03-09;62.549
2;1994-03-09;92.532
2;1994-03-09;89.147
2;1994-03-09;89.147
2;1994-03-09;83.923
2;1994-03-09;85.809
2;1994-03-09;74.732
2;1994-03-09;61.292
2;1994-03-09;53.161
2;1994-03-09;61.292
2;1994-03-09;34.792
2;1994-03-09;36.017
2;1994-03-09;32.093
2;1994-03-09;34.185
2;1994-03-09;24.906
2;1994-03-09;27.142
2;1994-03-09;25.222
2;1994-03-09;30.629
2;1994-03-09;25.539
2;1994-03-09;25.222
2;1994-03-09;25.857
2;1994-03-09;37.884
2;1994-03-09;50.808
2;1994-04-01;26.177
2;1994-04-02;28.447
2;1994-04-03;24.279
2;1994-04-04;24.906
2;1994-04-05;25.222
2;1994-04-06;30.629
2;1994-04-07;32.093
2;1994-04-08;34.488
2;1994-04-09;33.583
2;1994-04-09;39.786
2;1994-04-09;42.049
2;1994-04-09;42.704
2;1994-04-09;43.033
2;1994-04-09;28.447
2;1994-04-09;28.119
2;1994-04-09;25.857
2;1994-04-09;28.447
2;1994-04-09;27.792
2;1994-04-09;23.656
2;1994-04-09;25.222
2;1994-04-09;26.497
2;1994-04-09;27.792
2;1994-04-09;30.629
2;1994-04-09;30.92
2;1994-04-09;32.093
2;1994-04-09;34.488
2;1994-04-09;33.583
2;1994-04-09;37.571
2;1994-04-09;36.636
2;1994-04-09;35.097
2;1994-05-01;25.857
2;1994-05-02;27.792
2;1994-05-03;27.142
2;1994-05-04;26.177
2;1994-05-05;28.447
2;1994-05-06;25.857
2;1994-05-07;26.497
2;1994-05-08;28.119
2;1994-05-09;28.119
2;1994-05-09;26.819
2;1994-05-09;28.119
2;1994-05-09;28.119
2;1994-05-09;27.467
2;1994-05-09;55.153
2;1994-05-09;50.808
2;1994-05-09;47.732
2;1994-05-09;43.363
2;1994-05-09;42.376
2;1994-05-09;42.376
2;1994-05-09;42.049
2;1994-05-09;40.75
2;1994-05-09;39.149
2;1994-05-09;39.149
2;1994-05-09;34.185
2;1994-05-09;33.283
2;1994-05-09;30.34
2;1994-05-09;30.629
2;1994-05-09;37.571
2;1994-05-09;36.636
2;1994-05-09;39.149
2;1994-05-09;40.107
2;1994-06-01;27.467
2;1994-06-02;32.093
2;1994-06-03;31.505
2;1994-06-04;33.583
2;1994-06-05;38.831
2;1994-06-06;34.185
2;1994-06-07;35.709
2;1994-06-08;35.097
2;1994-06-09;32.686
2;1994-06-09;30.051
2;1994-06-09;27.142
2;1994-06-09;24.592
2;1994-06-09;22.732
2;1994-06-09;21.517
