Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:65025000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
65025000;2;01/02/1994;;1;1;99,945;27,792;51,728;17;11;1;1;1;;0;47,353;52,372;62,97;52,372;48,877;42,376;34,488;41,398;36,017;30,051;27,792;30,629;54,353;51,197;30,629;47,732;99,945;96,954;65,518;88,188;83,923;55,555;53,558;49,646;44,729;42,376;40,75;36,636;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
65025000;2;01/03/1994;;1;1;92,532;24,906;46,761;10;23;2;2;2;;0;37,884;36,017;33,283;27,792;27,792;25,222;30,051;67,67;62,549;92,532;89,147;89,147;83,923;85,809;74,732;61,292;53,161;61,292;34,792;36,017;32,093;34,185;24,906;27,142;25,222;30,629;25,539;25,222;25,857;37,884;50,808;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;
65025000;2;01/04/1994;;1;1;43,033;23,656;31,341;13;19;1;1;1;;0;26,177;28,447;24,279;24,906;25,222;30,629;32,093;34,488;33,583;39,786;42,049;42,704;43,033;28,447;28,119;25,857;28,447;27,792;23,656;25,222;26,497;27,792;30,629;30,92;32,093;34,488;33,583;37,571;36,636;35,097;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/05/1994;;1;1;55,153;25,857;34,817;14;1;2;2;2;;0;25,857;27,792;27,142;26,177;28,447;25,857;26,497;28,119;28,119;26,819;28,119;28,119;27,467;55,153;50,808;47,732;43,363;42,376;42,376;42,049;40,75;39,149;39,149;34,185;33,283;30,34;30,629;37,571;36,636;39,149;40,107;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/06/1994;;1;1;76,538;17,718;39,867;22;18;1;1;1;;0;27,467;32,093;31,505;33,583;38,831;34,185;35,709;35,097;32,686;30,051;27,142;24,592;22,732;21,517;20,917;20,62;19,442;17,718;27,142;42,049;64,239;76,538;76,538;75,182;71,168;70,727;55,153;50,808;42,049;38,515;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/07/1994;;1;1;93,997;26,497;63,38;5;22;1;1;1;;0;53,161;72,497;83,454;87,71;93,997;92,046;88,667;89,147;88,188;82,986;76,085;65,518;55,958;46,974;40,428;34,792;32,093;30,051;27,792;27,142;27,142;26,497;52,372;71,61;74,283;76,085;81,588;81,588;77,903;69,849;57,173;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/08/1994;;1;1;43,694;16,319;22,713;1;29;1;1;1;;0;43,694;36,946;34,488;33,283;30,34;28,447;26,497;24,906;24,279;23,347;22,426;22,122;21,819;20,917;20,323;20,323;19,735;19,735;19,735;19,735;19,442;18,287;18,001;17,435;17,435;17,435;17,435;16,596;16,319;16,319;16,319;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/09/1994;;1;1;15,77;9,9;13,242;7;27;1;1;1;;0;15,497;15,226;14,689;14,423;14,423;14,689;15,77;15,226;14,689;14,689;14,158;14,158;14,689;14,158;13,633;14,689;14,158;13,633;12,601;12,857;12,857;12,095;11,596;11,348;10,617;10,137;9,9;9,9;10,137;10,617;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65025000;2;01/10/1994;;1;1;90,109;11,596;32,866;28;12;1;1;1;;0;11,845;26,497;28,447;33,883;30,34;24,592;19,442;15,77;13,633;12,601;12,095;11,596;12,095;16,044;14,158;14,423;13,114;15,226;43,694;53,955;43,363;33,283;26,819;22,426;34,488;55,153;79,738;90,109;83,454;73,388;53,161;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65025000;2;01/11/1994;;1;1;99,444;24,592;55,02;20;4;1;1;1;;0;36,636;31,799;29,106;24,592;25,222;45,846;51,588;51,979;47,732;61,292;53,955;46,974;44,025;53,955;58,807;61,71;68,539;85,809;98,944;99,444;93,508;86,283;79,738;65,518;53,955;43,363;36,946;36,946;38,199;38,199;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
