Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64005000


EstacaoCodigo;NivelConsistencia;MetodoObtencaoVazoes;Data;Vazao;Status
64005000;1;1;01/01/1969;20,466;
64005000;1;1;02/01/1969;11,329;
64005000;1;1;03/01/1969;11,329;
64005000;1;1;04/01/1969;11,329;
64005000;1;1;05/01/1969;9,941;
64005000;1;1;06/01/1969;9,789;
64005000;1;1;07/01/1969;9,789;
64005000;1;1;08/01/1969;10,863;
64005000;1;1;09/01/1969;12,91;
64005000;1;1;10/01/1969;9,789;
64005000;1;1;11/01/1969;9,789;
64005000;1;1;12/01/1969;9,789;
64005000;1;1;13/01/1969;11,329;
64005000;1;1;14/01/1969;9,789;
64005000;1;1;15/01/1969;9,638;
64005000;1;1;16/01/1969;8,296;
64005000;1;1;17/01/1969;8,296;
64005000;1;1;18/01/1969;8,296;
64005000;1;1;19/01/1969;7,567;
64005000;1;1;20/01/1969;6,852;
64005000;1;1;21/01/1969;6,852;
64005000;1;1;22/01/1969;6,852;
64005000;1;1;23/01/1969;10,554;
64005000;1;1;24/01/1969;11,329;
64005000;1;1;25/01/1969;11,329;
64005000;1;1;26/01/1969;11,329;
64005000;1;1;27/01/1969;11,329;
64005000;1;1;28/01/1969;9,336;
64005000;1;1;29/01/1969;8,296;
64005000;1;1;30/01/1969;10,554;
64005000;1;1;31/01/1969;12,431;
64005000;1;1;01/02/1969;11,329;
64005000;1;1;02/02/1969;12,91;
64005000;1;1;03/02/1969;54,403;
64005000;1;1;04/02/1969;104,006;
64005000;1;1;05/02/1969;26,023;
64005000;1;1;06/02/1969;10,863;
64005000;1;1;07/02/1969;9,789;
64005000;1;1;08/02/1969;9,789;
64005000;1;1;09/02/1969;9,789;
64005000;1;1;10/02/1969;9,789;
64005000;1;1;11/02/1969;9,336;
64005000;1;1;12/02/1969;8,887;
64005000;1;1;13/02/1969;9,037;
64005000;1;1;14/02/1969;8,296;
64005000;1;1;15/02/1969;8,296;
64005000;1;1;16/02/1969;10,247;
64005000;1;1;17/02/1969;12,75;
64005000;1;1;18/02/1969;22,23;
64005000;1;1;19/02/1969;16,185;
64005000;1;1;20/02/1969;59,524;
64005000;1;1;21/02/1969;73,815;
64005000;1;1;22/02/1969;76,065;
64005000;1;1;23/02/1969;30,304;
64005000;1;1;24/02/1969;10,863;
64005000;1;1;25/02/1969;9,487;
64005000;1;1;26/02/1969;8,003;
64005000;1;1;27/02/1969;8,739;
64005000;1;1;28/02/1969;14,53;
64005000;1;1;01/03/1969;11,642;
64005000;1;1;02/03/1969;51,249;
64005000;1;1;03/03/1969;15,353;
64005000;1;1;04/03/1969;16,185;
64005000;1;1;05/03/1969;29,551;
64005000;1;1;06/03/1969;25,84;
64005000;1;1;07/03/1969;12,114;
64005000;1;1;08/03/1969;8,739;
64005000;1;1;09/03/1969;6,994;
64005000;1;1;10/03/1969;6,852;
64005000;1;1;11/03/1969;9,037;
64005000;1;1;12/03/1969;16,018;
64005000;1;1;13/03/1969;13,877;
64005000;1;1;14/03/1969;36,263;
64005000;1;1;15/03/1969;12,75;
64005000;1;1;16/03/1969;11,642;
64005000;1;1;17/03/1969;11,329;
64005000;1;1;18/03/1969;11,329;
64005000;1;1;19/03/1969;11,329;
64005000;1;1;20/03/1969;11,957;
64005000;1;1;21/03/1969;14,53;
64005000;1;1;22/03/1969;22,23;
64005000;1;1;23/03/1969;31,441;
64005000;1;1;24/03/1969;29,551;
64005000;1;1;25/03/1969;12,591;
64005000;1;1;26/03/1969;12,114;
64005000;1;1;27/03/1969;29,927;
64005000;1;1;28/03/1969;12,75;
64005000;1;1;29/03/1969;12,431;
64005000;1;1;30/03/1969;11,642;
64005000;1;1;31/03/1969;11,642;
64005000;1;1;01/04/1969;11,329;
64005000;1;1;02/04/1969;12,75;
64005000;1;1;03/04/1969;12,75;
64005000;1;1;04/04/1969;84,04;
64005000;1;1;05/04/1969;32,395;
64005000;1;1;06/04/1969;30,493;
64005000;1;1;07/04/1969;28,428;
64005000;1;1;08/04/1969;26,759;
64005000;1;1;09/04/1969;9,336;
64005000;1;1;10/04/1969;8,591;
64005000;1;1;11/04/1969;9,789;
64005000;1;1;12/04/1969;11,329;
64005000;1;1;13/04/1969;11,957;
64005000;1;1;14/04/1969;20,291;
64005000;1;1;15/04/1969;12,75;
64005000;1;1;16/04/1969;12,75;
64005000;1;1;17/04/1969;12,431;
64005000;1;1;18/04/1969;11,799;
64005000;1;1;19/04/1969;11,173;
64005000;1;1;20/04/1969;10,4;
64005000;1;1;21/04/1969;9,789;
64005000;1;1;22/04/1969;9,789;
64005000;1;1;23/04/1969;9,789;
64005000;1;1;24/04/1969;9,789;
64005000;1;1;25/04/1969;9,789;
64005000;1;1;26/04/1969;10,094;
64005000;1;1;27/04/1969;10,554;
64005000;1;1;28/04/1969;9,789;
64005000;1;1;29/04/1969;9,941;
64005000;1;1;30/04/1969;9,789;
64005000;1;1;01/05/1969;9,789;
64005000;1;1;02/05/1969;9,487;
64005000;1;1;03/05/1969;9,336;
64005000;1;1;04/05/1969;9,336;
64005000;1;1;05/05/1969;9,037;
64005000;1;1;06/05/1969;8,296;
64005000;1;1;07/05/1969;7,712;
64005000;1;1;08/05/1969;7,137;
64005000;1;1;09/05/1969;7,423;
64005000;1;1;10/05/1969;7,567;
64005000;1;1;11/05/1969;7,567;
64005000;1;1;12/05/1969;6,852;
64005000;1;1;13/05/1969;7,567;
64005000;1;1;14/05/1969;9,638;
64005000;1;1;15/05/1969;12,591;
64005000;1;1;16/05/1969;11,642;
64005000;1;1;17/05/1969;11,018;
64005000;1;1;18/05/1969;10,708;
64005000;1;1;19/05/1969;10,094;
64005000;1;1;20/05/1969;9,638;
64005000;1;1;21/05/1969;9,186;
64005000;1;1;22/05/1969;9,037;
64005000;1;1;23/05/1969;8,887;
